vertex,A8:F7:D9:59:B7:81,A8:F7:D9:59:B7:A1,A8:F7:D9:5A:4A:21,A8:F7:D9:5A:4A:41,A8:F7:D9:5A:4A:A1,A8:F7:D9:5A:4F:01,A8:F7:D9:5A:4F:21,A8:F7:D9:5A:4F:61,A8:F7:D9:5A:4F:81,A8:F7:D9:5A:50:21,A8:F7:D9:5A:50:41,A8:F7:D9:5A:59:B1,A8:F7:D9:5A:59:D1,A8:F7:D9:5A:5B:91,A8:F7:D9:5A:5B:B1,A8:F7:D9:5A:5B:F2,A8:F7:D9:5A:5C:12,A8:F7:D9:5A:5E:C1,A8:F7:D9:5A:5E:E1,A8:F7:D9:5A:5E:F1,A8:F7:D9:5A:5F:11,A8:F7:D9:5A:61:51,A8:F7:D9:5A:69:11,A8:F7:D9:5A:69:31,A8:F7:D9:5A:6A:C1,A8:F7:D9:5A:6A:E1,A8:F7:D9:5A:6B:81,A8:F7:D9:5A:6B:A1,A8:F7:D9:5A:70:31,A8:F7:D9:5A:70:51,A8:F7:D9:C4:3D:B1,A8:F7:D9:C4:3D:D1,A8:F7:D9:C4:50:A1,A8:F7:D9:E6:C5:21,A8:F7:D9:E6:C5:41,A8:F7:D9:E6:CD:91,A8:F7:D9:E6:CD:B1,A8:F7:D9:E6:D0:F1,A8:F7:D9:E6:D1:11
34,-79,-75,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-71,-65,-100,-100,-100,-100,-100,-65,-71,-61,-63,-74,-64,-75,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100
34,-80,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-83,-100,-100,-100,-72,-70,-100,-100,-100,-100,-100,-65,-68,-65,-68,-77,-64,-80,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
33,-80,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-83,-100,-100,-100,-75,-67,-100,-100,-100,-100,-100,-75,-71,-66,-68,-77,-100,-78,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
33,-80,-75,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100,-100,-100,-100,-80,-71,-73,-100,-100,-100,-76,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
33,-76,-69,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100,-100,-100,-100,-75,-71,-68,-62,-100,-100,-76,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
33,-80,-69,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-75,-71,-100,-100,-100,-100,-100,-76,-71,-70,-69,-100,-100,-77,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
33,-77,-63,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-76,-71,-100,-100,-100,-100,-100,-71,-71,-68,-69,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
32,-78,-63,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100,-100,-100,-100,-78,-100,-61,-57,-100,-100,-85,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100
32,-78,-63,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-81,-69,-100,-100,-100,-100,-100,-80,-100,-66,-66,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
32,-78,-73,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-84,-67,-100,-100,-100,-100,-100,-78,-100,-64,-62,-100,-100,-77,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
32,-80,-70,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-78,-65,-100,-100,-100,-100,-100,-76,-75,-63,-64,-100,-100,-78,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100
32,-78,-70,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-72,-66,-100,-100,-100,-100,-100,-65,-67,-53,-53,-100,-100,-84,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100
27,-84,-75,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-80,-72,-100,-100,-100,-100,-100,-77,-64,-63,-58,-100,-71,-78,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
27,-83,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-81,-72,-100,-100,-100,-100,-100,-62,-66,-63,-63,-82,-71,-80,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
27,-83,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-80,-72,-100,-100,-100,-100,-100,-79,-73,-59,-52,-82,-71,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
27,-83,-75,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-79,-72,-100,-100,-100,-100,-100,-63,-73,-56,-61,-83,-71,-81,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
27,-83,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-78,-72,-100,-100,-100,-100,-100,-77,-76,-56,-55,-81,-71,-83,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
28,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-68,-76,-63,-54,-81,-100,-75,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
28,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-80,-76,-65,-71,-81,-100,-81,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
28,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-68,-76,-64,-58,-81,-100,-78,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
28,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-68,-76,-63,-60,-81,-100,-78,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
28,-81,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-73,-68,-64,-55,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
29,-78,-71,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-76,-68,-68,-66,-100,-100,-84,-76,-100,-100,-100,-85,-100,-100,-100,-100,-100
29,-83,-71,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-100,-100,-77,-68,-71,-57,-100,-100,-79,-78,-100,-100,-100,-81,-100,-100,-100,-100,-100
29,-83,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-78,-71,-100,-100,-100,-100,-100,-77,-100,-64,-57,-100,-100,-76,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100
29,-83,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-78,-71,-100,-100,-100,-100,-100,-77,-100,-71,-65,-100,-100,-76,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100
29,-81,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-79,-71,-100,-100,-100,-100,-100,-78,-100,-63,-57,-100,-100,-75,-78,-100,-100,-100,-76,-100,-100,-100,-100,-100
132,-81,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-79,-71,-100,-100,-100,-100,-100,-78,-100,-63,-55,-100,-100,-75,-78,-100,-100,-100,-85,-70,-100,-100,-100,-100
132,-84,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-84,-71,-100,-100,-100,-100,-100,-78,-100,-66,-50,-100,-100,-83,-100,-100,-100,-100,-82,-70,-100,-100,-100,-100
132,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-78,-100,-59,-50,-100,-100,-83,-100,-100,-100,-100,-84,-70,-100,-100,-100,-100
132,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-60,-61,-100,-100,-83,-100,-100,-100,-100,-85,-70,-100,-100,-100,-100
132,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-62,-54,-100,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-81,-100,-64,-62,-100,-100,-86,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-79,-100,-67,-62,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-79,-100,-67,-62,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-78,-100,-67,-62,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-78,-100,-66,-66,-100,-100,-86,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
131,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-78,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-75,-100,-67,-68,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-75,-100,-67,-65,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-81,-100,-100,-100,-82,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-77,-100,-67,-59,-100,-100,-84,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-81,-100,-100,-100,-82,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-77,-100,-71,-61,-100,-100,-84,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-85,-100,-100,-100,-79,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-78,-100,-67,-54,-100,-100,-84,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
30,-100,-76,-100,-100,-100,-100,-100,-85,-100,-100,-100,-79,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-78,-100,-72,-63,-100,-100,-87,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-79,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-71,-100,-58,-53,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-86,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-80,-100,-61,-57,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-80,-73,-59,-49,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-84,-73,-100,-100,-100,-100,-100,-78,-73,-61,-55,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-81,-77,-100,-100,-100,-100,-100,-70,-74,-61,-52,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-86,-73,-100,-100,-100,-100,-100,-80,-74,-58,-50,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
31,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-79,-73,-100,-100,-100,-100,-100,-73,-71,-62,-53,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-69,-73,-100,-100,-100,-100,-100,-72,-71,-62,-53,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-72,-100,-100,-84,-100,-100,-100,-80,-100,-100,-100,-69,-73,-100,-100,-100,-100,-100,-72,-77,-62,-59,-100,-100,-72,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-68,-72,-100,-100,-100,-100,-100,-72,-77,-60,-63,-100,-100,-74,-71,-100,-100,-100,-79,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-67,-62,-100,-100,-100,-100,-100,-77,-77,-58,-63,-100,-100,-75,-71,-100,-100,-100,-79,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-71,-62,-100,-100,-100,-100,-100,-77,-77,-58,-57,-100,-100,-76,-71,-100,-100,-100,-79,-100,-100,-100,-100,-100
up1,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-70,-62,-100,-100,-100,-100,-100,-77,-77,-59,-59,-100,-100,-76,-76,-100,-100,-100,-84,-100,-100,-100,-100,-100
down1,-84,-67,-100,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-100,-74,-69,-100,-100,-100,-100,-100,-63,-100,-55,-48,-100,-100,-79,-75,-100,-100,-100,-80,-100,-100,-100,-100,-100
down1,-82,-67,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-100,-100,-66,-100,-52,-58,-100,-100,-78,-75,-100,-100,-100,-79,-100,-100,-100,-100,-100
down1,-80,-67,-100,-100,-100,-100,-100,-82,-76,-100,-100,-100,-100,-100,-100,-74,-72,-100,-100,-100,-100,-100,-67,-67,-52,-49,-100,-100,-79,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100
down1,-82,-100,-100,-100,-100,-100,-100,-82,-76,-100,-100,-100,-100,-100,-100,-79,-72,-100,-100,-100,-100,-100,-65,-67,-53,-56,-100,-100,-81,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
down1,-82,-68,-100,-100,-100,-100,-100,-81,-76,-100,-100,-100,-100,-100,-100,-78,-72,-100,-100,-100,-100,-100,-63,-67,-52,-56,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
26,-82,-68,-100,-100,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-79,-100,-46,-43,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
26,-82,-68,-100,-100,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-79,-100,-60,-37,-100,-100,-80,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100
26,-100,-68,-100,-100,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-77,-100,-51,-37,-100,-100,-80,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
26,-100,-77,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-73,-74,-48,-49,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
26,-100,-77,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-73,-74,-53,-49,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
26,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-78,-74,-46,-38,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
26,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-50,-40,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
26,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-74,-100,-48,-43,-100,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
26,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-79,-100,-51,-51,-100,-100,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
26,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-82,-100,-100,-100,-81,-73,-100,-100,-100,-100,-100,-73,-75,-50,-42,-100,-100,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
26,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-82,-100,-100,-100,-84,-73,-100,-100,-100,-100,-100,-84,-75,-52,-50,-100,-100,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-83,-73,-100,-100,-100,-100,-100,-79,-75,-60,-56,-100,-100,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-83,-73,-100,-100,-100,-100,-100,-77,-75,-61,-52,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-77,-100,-62,-55,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-74,-75,-61,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-62,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-76,-75,-52,-50,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
109,-100,-100,-100,-100,-100,-100,-100,-85,-72,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-77,-100,-58,-54,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
25,-100,-100,-100,-100,-100,-100,-100,-85,-72,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-77,-100,-61,-49,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
