vertex,A8:F7:D9:59:B7:81,A8:F7:D9:59:B7:A1,A8:F7:D9:5A:4A:21,A8:F7:D9:5A:4A:41,A8:F7:D9:5A:4A:A1,A8:F7:D9:5A:4F:01,A8:F7:D9:5A:4F:21,A8:F7:D9:5A:4F:61,A8:F7:D9:5A:4F:81,A8:F7:D9:5A:50:21,A8:F7:D9:5A:50:41,A8:F7:D9:5A:59:B1,A8:F7:D9:5A:59:D1,A8:F7:D9:5A:5B:91,A8:F7:D9:5A:5B:B1,A8:F7:D9:5A:5B:F2,A8:F7:D9:5A:5C:12,A8:F7:D9:5A:5E:C1,A8:F7:D9:5A:5E:E1,A8:F7:D9:5A:5E:F1,A8:F7:D9:5A:5F:11,A8:F7:D9:5A:61:51,A8:F7:D9:5A:69:11,A8:F7:D9:5A:69:31,A8:F7:D9:5A:6A:C1,A8:F7:D9:5A:6A:E1,A8:F7:D9:5A:6B:81,A8:F7:D9:5A:6B:A1,A8:F7:D9:5A:70:31,A8:F7:D9:5A:70:51,A8:F7:D9:C4:3D:B1,A8:F7:D9:C4:3D:D1,A8:F7:D9:C4:50:A1,A8:F7:D9:E6:C5:21,A8:F7:D9:E6:C5:41,A8:F7:D9:E6:CD:91,A8:F7:D9:E6:CD:B1,A8:F7:D9:E6:D0:F1,A8:F7:D9:E6:D1:11
24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-80,-72,-100,-100,-100,-100,-100,-65,-64,-62,-58,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100
23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-75,-62,-100,-100,-100,-100,-100,-68,-70,-61,-56,-84,-72,-76,-100,-100,-100,-100,-80,-100,-100,-79,-100,-100
22,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-70,-69,-100,-100,-76,-67,-100,-100,-84,-100,-74,-72,-66,-68,-70,-78,-72,-84,-100,-100,-100,-100,-83,-76,-84,-100,-100,-100
21,-100,-100,-79,-75,-78,-100,-100,-100,-100,-100,-100,-70,-71,-100,-100,-80,-67,-100,-100,-84,-100,-74,-60,-59,-69,-65,-78,-67,-84,-100,-100,-100,-100,-83,-74,-84,-74,-100,-73
20,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-67,-63,-100,-100,-76,-74,-100,-100,-100,-73,-100,-60,-54,-70,-66,-82,-67,-83,-100,-100,-100,-100,-83,-100,-83,-70,-81,-73
19,-100,-100,-80,-100,-100,-100,-100,-100,-100,-80,-100,-72,-70,-85,-100,-81,-100,-100,-100,-81,-76,-100,-54,-56,-74,-69,-80,-65,-84,-100,-100,-100,-100,-82,-100,-80,-100,-83,-77
18,-100,-100,-76,-100,-100,-100,-100,-100,-100,-82,-100,-82,-77,-81,-100,-83,-100,-100,-100,-81,-76,-100,-50,-49,-74,-70,-78,-63,-85,-100,-100,-100,-100,-100,-100,-79,-75,-82,-68
17,-100,-100,-77,-100,-100,-100,-100,-100,-100,-80,-100,-83,-100,-81,-100,-78,-100,-100,-100,-80,-72,-100,-53,-41,-79,-100,-83,-72,-84,-100,-100,-100,-100,-100,-100,-78,-74,-82,-75
112,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-100,-83,-100,-100,-100,-79,-72,-100,-60,-58,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-81,-79
12,-100,-100,-76,-73,-100,-100,-100,-100,-100,-80,-78,-79,-100,-82,-100,-83,-100,-100,-100,-78,-69,-100,-72,-66,-81,-74,-79,-69,-85,-100,-83,-100,-80,-100,-100,-71,-69,-84,-100
16,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-82,-100,-100,-100,-85,-77,-100,-56,-49,-80,-70,-100,-77,-84,-78,-100,-100,-100,-100,-100,-85,-74,-85,-71
114,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-83,-100,-100,-100,-85,-77,-100,-58,-55,-80,-78,-100,-77,-85,-78,-100,-100,-100,-100,-100,-72,-68,-85,-100
15,-100,-100,-77,-77,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-79,-100,-100,-100,-82,-72,-100,-58,-53,-73,-73,-84,-74,-100,-100,-100,-100,-100,-100,-100,-79,-76,-83,-76
130,-100,-100,-86,-77,-100,-100,-100,-100,-100,-81,-100,-78,-72,-100,-100,-77,-100,-100,-100,-78,-71,-100,-64,-56,-81,-74,-81,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-83,-76
129,-100,-100,-79,-71,-100,-100,-100,-100,-100,-78,-100,-80,-72,-100,-100,-79,-100,-100,-100,-77,-72,-100,-59,-55,-82,-74,-100,-76,-100,-100,-100,-100,-100,-82,-100,-83,-76,-77,-64
14,-100,-100,-72,-70,-100,-100,-100,-100,-100,-77,-79,-85,-100,-100,-100,-82,-100,-100,-100,-79,-67,-100,-56,-52,-78,-76,-75,-70,-100,-100,-100,-100,-100,-100,-100,-75,-68,-81,-100
13,-100,-100,-70,-70,-100,-82,-100,-100,-100,-74,-76,-84,-100,-80,-77,-84,-100,-100,-77,-79,-65,-100,-67,-66,-81,-100,-78,-63,-100,-100,-85,-100,-80,-100,-100,-68,-65,-82,-75
10,-100,-100,-80,-100,-100,-100,-100,-100,-100,-79,-70,-100,-100,-79,-100,-100,-100,-100,-100,-83,-75,-100,-72,-70,-83,-74,-78,-66,-85,-100,-100,-100,-81,-100,-100,-77,-78,-100,-100
11,-100,-100,-79,-100,-100,-100,-100,-100,-100,-81,-68,-100,-100,-79,-72,-100,-100,-100,-100,-83,-71,-100,-77,-73,-82,-100,-79,-68,-100,-100,-100,-100,-100,-100,-100,-75,-68,-100,-100
115,-100,-100,-84,-100,-100,-100,-100,-100,-100,-83,-67,-100,-100,-79,-72,-100,-100,-100,-100,-83,-75,-100,-78,-71,-84,-100,-78,-70,-100,-100,-100,-76,-100,-100,-100,-65,-58,-100,-100
down,-100,-100,-74,-65,-100,-81,-100,-100,-100,-68,-67,-84,-100,-80,-74,-100,-100,-83,-100,-78,-69,-100,-70,-70,-80,-100,-80,-68,-83,-100,-100,-100,-100,-100,-100,-77,-69,-100,-100
128,-100,-100,-77,-65,-100,-83,-100,-100,-100,-81,-66,-100,-100,-83,-74,-100,-100,-85,-100,-80,-66,-100,-74,-75,-79,-100,-77,-70,-84,-100,-100,-100,-100,-100,-100,-67,-74,-100,-100
up,-100,-100,-75,-100,-100,-81,-100,-100,-100,-82,-100,-100,-100,-82,-73,-100,-100,-100,-100,-80,-73,-100,-75,-100,-81,-100,-81,-74,-86,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100
9,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-81,-71,-100,-100,-100,-100,-83,-75,-100,-71,-70,-78,-100,-73,-66,-100,-100,-100,-100,-100,-100,-100,-81,-72,-100,-100
8,-100,-100,-84,-100,-100,-100,-100,-100,-100,-81,-76,-100,-100,-83,-100,-100,-100,-100,-100,-82,-76,-100,-73,-66,-82,-100,-79,-66,-85,-100,-100,-100,-100,-100,-100,-76,-71,-100,-100
elev,-100,-100,-100,-100,-100,-81,-100,-100,-100,-81,-100,-100,-100,-78,-76,-100,-100,-100,-100,-83,-69,-100,-80,-75,-74,-100,-80,-61,-81,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100
7,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-77,-76,-100,-100,-100,-100,-80,-74,-100,-78,-100,-84,-100,-73,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
4,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-78,-76,-100,-100,-100,-100,-81,-100,-100,-81,-77,-84,-100,-71,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
5,-100,-100,-100,-100,-100,-83,-100,-100,-100,-76,-100,-100,-100,-78,-74,-100,-100,-100,-100,-81,-77,-100,-77,-81,-80,-72,-71,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
6,-100,-100,-100,-100,-100,-83,-100,-100,-100,-80,-71,-100,-100,-78,-67,-100,-100,-100,-100,-83,-77,-100,-75,-75,-77,-100,-75,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
127,-100,-100,-100,-100,-100,-82,-67,-100,-100,-82,-75,-100,-100,-80,-79,-100,-100,-100,-100,-79,-72,-100,-79,-100,-100,-100,-78,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-75,-100,-100,-84,-100,-100,-100,-100,-100,-84,-72,-100,-78,-75,-81,-100,-60,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-79,-100,-79,-75,-85,-100,-74,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-76,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
