Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:c9:b1,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:61,a8:f7:d9:5a:4a:21,a8:f7:d9:5a:4a:41,a8:f7:d9:5a:4a:81,a8:f7:d9:5a:4a:a1,a8:f7:d9:5a:4f:01,a8:f7:d9:5a:4f:21,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:50:21,a8:f7:d9:5a:50:41,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:c1,a8:f7:d9:5a:5e:e1,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:51,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:c4:3d:b1,a8:f7:d9:c4:3d:d1,a8:f7:d9:c4:50:a1,a8:f7:d9:c4:50:c1,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c9:31,a8:f7:d9:e6:cd:91,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d1:11
3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-81,-87,-100,-100,-100,-78,-100,-100,-56,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-83,-100,-100,-100,-81,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100
3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-85,-100,-100,-100,-81,-100,-100,-54,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100
3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-85,-100,-100,-100,-77,-100,-100,-57,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-82,-81,-100,-100,-100,-78,-85,-88,-58,-60,-100,-87,-100,-100,-100,-100,-100,-100,-100,-83,-81,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-84,-100,-100,-84,-100,-100,-100,-100,-100,-79,-86,-100,-100,-100,-100,-83,-85,-100,-100,-100,-72,-100,-89,-59,-61,-100,-88,-100,-100,-100,-100,-100,-100,-100,-82,-86,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-87,-100,-100,-100,-80,-100,-85,-100,-61,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-76,-100,-88,-58,-60,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-87,-100,-100,-79,-76,-100,-100,-100,-62,-100,-88,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-77,-83,-100,-100,-100,-78,-100,-88,-56,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-84,-100,-100,-100,-80,-100,-100,-100,-60,-100,-87,-100,-100,-100,-100,-100,-100,-100,-80,-83,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-82,-86,-100,-100,-79,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-80,-85,-100,-100,-100,-77,-100,-87,-60,-59,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-86,-100,-100,-100,-76,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100
4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-85,-100,-100,-100,-79,-100,-100,-61,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100
