Vertex,00:b8:c2:d0:c2:a2,02:68:eb:44:57:42,08:be:ac:19:37:7d,08:be:ac:24:d0:44,18:e8:29:17:6a:66,18:e8:29:18:6a:66,1a:e8:29:17:6a:66,1a:e8:29:18:6a:66,3c:37:86:b3:00:cf,3c:84:6a:62:09:9b,3e:e9:0e:d5:7e:1a,72:5a:0f:f9:4c:d5,86:2a:fd:9c:02:bb,86:69:93:38:2b:03,a0:a3:f0:d6:67:ce,a8:f7:d9:59:c9:b1,a8:f7:d9:59:c9:b2,a8:f7:d9:59:c9:d1,a8:f7:d9:59:c9:d2,a8:f7:d9:59:cc:e1,a8:f7:d9:59:cc:e2,a8:f7:d9:59:cd:01,a8:f7:d9:59:cd:02,a8:f7:d9:59:cd:41,a8:f7:d9:59:cd:42,a8:f7:d9:59:cd:61,a8:f7:d9:59:cd:62,a8:f7:d9:59:ce:f1,a8:f7:d9:59:ce:f2,a8:f7:d9:59:cf:11,a8:f7:d9:59:cf:12,a8:f7:d9:5a:59:51,a8:f7:d9:5a:59:52,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:72,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:92,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:b2,a8:f7:d9:5a:5d:01,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5e:f2,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:5f:12,a8:f7:d9:5a:60:41,a8:f7:d9:5a:60:42,a8:f7:d9:5a:61:31,a8:f7:d9:5a:61:32,a8:f7:d9:5a:61:51,a8:f7:d9:5a:61:52,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:22,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c5:42,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d0:f2,c0:25:2f:3f:8f:f0,c0:25:2f:8e:f7:d4,ca:5a:cf:c7:e1:91,ca:c9:a3:ac:0a:f3,ca:c9:a3:ac:ca:8b,d8:0d:17:49:97:fe,f0:b4:d2:34:55:72
t338,-100,-100,-100,-100,-56,-58,-56,-58,-100,-100,-100,-77,-59,-64,-100,-100,-100,-81,-81,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-87,-86,-38,-38,-56,-56,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-56,-100
t338,-100,-100,-100,-100,-54,-52,-52,-100,-100,-100,-100,-78,-61,-64,-100,-100,-100,-82,-82,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-55,-100
t338,-100,-100,-100,-100,-54,-52,-52,-100,-100,-100,-100,-78,-61,-64,-100,-100,-100,-82,-82,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-55,-100
t338,-100,-100,-100,-100,-56,-55,-56,-55,-100,-100,-100,-78,-60,-65,-100,-100,-100,-79,-79,-69,-69,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-41,-41,-57,-59,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-60,-100
t-romina-215,-100,-100,-100,-100,-54,-59,-100,-100,-100,-100,-100,-86,-69,-66,-100,-78,-77,-79,-79,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-62,-100
t-romina-215,-100,-100,-100,-100,-54,-59,-100,-100,-100,-100,-100,-86,-69,-66,-100,-78,-77,-79,-79,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-62,-100
t-romina-215,-100,-100,-100,-100,-59,-57,-56,-58,-100,-100,-100,-100,-71,-64,-100,-77,-77,-78,-78,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-85,-85,-44,-44,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-58,-100
t-romina-215,-100,-100,-100,-100,-59,-57,-56,-58,-100,-100,-100,-100,-71,-64,-100,-77,-77,-78,-78,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-85,-85,-44,-44,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-58,-100
t-romina-215,-100,-100,-100,-100,-56,-61,-100,-100,-100,-100,-100,-100,-70,-62,-100,-79,-79,-83,-83,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-59,-100
t-romina-215,-100,-100,-100,-100,-56,-61,-100,-100,-100,-100,-100,-100,-70,-62,-100,-79,-79,-83,-83,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-59,-100
t-romina-215,-100,-100,-100,-100,-59,-58,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-88,-88,-46,-46,-63,-63,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-60,-100
t-romina-215,-100,-100,-100,-100,-59,-58,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-88,-88,-46,-46,-63,-63,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-60,-100
t-romina-215,-100,-100,-100,-100,-100,-63,-54,-100,-100,-100,-100,-100,-71,-64,-100,-100,-100,-82,-82,-100,-100,-76,-75,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-67,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-58,-100
t-romina-215,-100,-100,-100,-100,-100,-63,-54,-100,-100,-100,-100,-100,-71,-64,-100,-100,-100,-82,-82,-100,-100,-76,-75,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-67,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-58,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-49,-74,-100,-100,-100,-79,-79,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-70,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-49,-74,-100,-100,-100,-79,-79,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-70,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-72,-78,-100,-100,-100,-100,-100,-100,-46,-75,-100,-100,-100,-80,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-71,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-72,-78,-100,-100,-100,-100,-100,-100,-46,-75,-100,-100,-100,-80,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-71,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-78,-100,-100,-100,-100,-100,-100,-46,-100,-100,-69,-70,-76,-77,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-70,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-78,-100,-100,-100,-100,-100,-100,-46,-100,-100,-69,-70,-76,-77,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-70,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-75,-100,-75,-100,-100,-100,-100,-47,-74,-100,-100,-100,-76,-77,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-80,-68,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-75,-100,-75,-100,-100,-100,-100,-47,-74,-100,-100,-100,-76,-77,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-80,-68,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-76,-100,-100,-100,-100,-100,-100,-47,-75,-100,-100,-100,-77,-77,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-68,-100
t-dalit-576-553-575-598,-100,-100,-100,-100,-69,-76,-100,-100,-100,-100,-100,-100,-47,-75,-100,-100,-100,-77,-77,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-68,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-54,-76,-100,-100,-100,-80,-80,-82,-83,-84,-84,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-83,-77,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-54,-76,-100,-100,-100,-80,-80,-82,-83,-84,-84,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-83,-77,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-69,-72,-70,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-82,-82,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-69,-72,-70,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-82,-82,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-78,-78,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-56,-56,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-70,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-78,-78,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-56,-56,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-70,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-100,-75,-69,-75,-100,-100,-100,-100,-57,-100,-100,-100,-100,-85,-85,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-55,-55,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-100,-75,-69,-75,-100,-100,-100,-100,-57,-100,-100,-100,-100,-85,-85,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-55,-55,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-78,-76,-77,-100,-100,-100,-100,-100,-56,-100,-100,-75,-75,-81,-81,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100
t-nili-661-681-643-662,-100,-100,-100,-100,-78,-76,-77,-100,-100,-100,-100,-100,-56,-100,-100,-75,-75,-81,-81,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100
